Origin,Destination,N_flights,Flight_time,Wait_time,Total_time,Exec_time
UMMS,SKBO,1,1322,284,1606,0.906
UMMS,SKBO,2,1888,123,2011,1.723
UMMS,SKBO,2,1874,35,1909,1.169
UMMS,SKBO,2,1808,49,1857,1.100
UMMS,SKBO,1,1322,235,1557,1.377
UMMS,SKBO,2,1803,160,1963,1.196
UMMS,SKBO,1,1322,22,1344,0.834
UMMS,SKBO,2,1876,274,2150,1.093
UMMS,SKBO,2,1879,246,2125,1.265
UMMS,SKBO,1,1322,18,1340,0.908
UMMS,SKBO,2,1883,48,1931,1.954
UMMS,SKBO,2,1876,178,2054,1.431
UMMS,SKBO,2,1814,428,2242,1.215
UMMS,SKBO,1,1322,362,1684,1.665
UMMS,SKBO,2,1867,60,1927,1.754
UMMS,SKBO,2,1875,166,2041,1.293
UMMS,SKBO,2,1875,247,2122,1.010
UMMS,SKBO,2,1871,177,2048,0.857
UMMS,SKBO,2,1872,147,2019,1.112
UMMS,SKBO,1,1324,65,1389,0.943
UMMS,SKBO,2,1881,124,2005,0.909
UMMS,SKBO,2,1881,70,1951,1.171
UMMS,SKBO,2,1888,111,1999,2.132
UMMS,SKBO,2,1872,323,2195,1.056
UMMS,SKBO,2,1873,216,2089,1.011
UMMS,SKBO,2,1867,168,2035,1.541
UMMS,SKBO,2,1876,279,2155,1.708
UMMS,SKBO,2,1803,49,1852,1.380
UMMS,SKBO,1,1324,504,1828,1.022
UMMS,SKBO,2,1814,201,2015,1.022
UMMS,SKBO,1,1322,372,1694,0.872
UMMS,SKBO,1,1322,265,1587,1.276
UMMS,SKBO,2,1814,414,2228,1.461
UMMS,SKBO,1,1324,111,1435,0.965
UMMS,SKBO,2,1758,496,2254,1.409
UMMS,SKBO,2,1867,129,1996,1.022
UMMS,SKBO,1,1324,500,1824,1.122
UMMS,SKBO,2,1808,238,2046,1.681
UMMS,SKBO,1,1322,229,1551,1.646
UMMS,SKBO,1,1324,67,1391,1.414
UMMS,SKBO,2,1758,486,2244,1.367
UMMS,SKBO,1,1324,758,2082,1.207
UMMS,SKBO,2,1808,68,1876,1.798
UMMS,SKBO,2,1870,16,1886,1.754
UMMS,SKBO,2,1808,162,1970,1.037
UMMS,SKBO,2,1870,243,2113,2.240
UMMS,SKBO,2,1888,302,2190,1.259
UMMS,SKBO,1,1324,30,1354,0.883
UMMS,SKBO,2,1876,139,2015,1.989
UMMS,SKBO,2,1816,190,2006,1.230
UMMS,SKBO,2,1814,210,2024,1.105
UMMS,SKBO,2,1881,150,2031,1.250
UMMS,SKBO,2,1758,351,2109,0.979
UMMS,SKBO,2,1881,226,2107,1.377
UMMS,SKBO,2,1888,122,2010,1.795
UMMS,SKBO,2,1874,30,1904,1.051
UMMS,SKBO,2,1881,257,2138,0.954
UMMS,SKBO,1,1322,58,1380,1.065
UMMS,SKBO,2,1881,81,1962,1.124
UMMS,SKBO,2,1872,88,1960,0.963
UMMS,SKBO,2,1874,235,2109,1.397
UMMS,SKBO,1,1324,119,1443,1.501
UMMS,SKBO,2,1803,48,1851,1.232
UMMS,SKBO,2,1808,152,1960,1.015
UMMS,SKBO,2,1881,261,2142,1.300
UMMS,SKBO,2,1877,77,1954,1.163
UMMS,SKBO,2,1803,25,1828,1.781
UMMS,SKBO,2,1876,84,1960,1.245
UMMS,SKBO,2,1814,310,2124,1.207
UMMS,SKBO,2,1874,377,2251,0.953
UMMS,SKBO,1,1322,61,1383,1.469
UMMS,SKBO,2,1814,142,1956,1.146
UMMS,SKBO,1,1324,313,1637,1.028
UMMS,SKBO,2,1881,132,2013,1.980
UMMS,SKBO,2,1881,216,2097,1.909
UMMS,SKBO,1,1322,516,1838,1.042
UMMS,SKBO,2,1881,245,2126,1.212
UMMS,SKBO,2,1816,203,2019,1.090
UMMS,SKBO,2,1876,330,2206,0.951
UMMS,SKBO,2,1808,104,1912,1.699
UMMS,SKBO,2,1875,248,2123,1.296
UMMS,SKBO,2,1803,122,1925,0.967
UMMS,SKBO,2,1865,92,1957,1.389
UMMS,SKBO,1,1324,46,1370,1.229
UMMS,SKBO,2,1823,349,2172,0.932
UMMS,SKBO,2,1867,134,2001,1.338
UMMS,SKBO,2,1814,158,1972,0.903
UMMS,SKBO,2,1881,185,2066,0.925
UMMS,SKBO,1,1324,525,1849,1.665
UMMS,SKBO,2,1874,249,2123,1.288
UMMS,SKBO,2,1808,162,1970,0.984
UMMS,SKBO,2,1888,309,2197,2.027
UMMS,SKBO,2,1883,49,1932,1.103
UMMS,SKBO,2,1868,211,2079,0.924
UMMS,SKBO,2,1881,261,2142,1.691
UMMS,SKBO,1,1322,429,1751,1.117
UMMS,SKBO,2,1876,319,2195,0.885
UMMS,SKBO,2,1816,285,2101,0.976
UMMS,SKBO,2,1808,94,1902,1.668
UMMS,SKBO,2,1881,150,2031,0.955
UMMS,SKBO,2,1877,212,2089,1.040
UMMS,SKBO,2,1870,293,2163,1.930
UMMS,SKBO,1,1324,578,1902,1.015
UMMS,SKBO,2,1808,156,1964,0.952
UMMS,SKBO,2,1881,185,2066,1.493
UMMS,SKBO,1,1322,173,1495,0.943
UMMS,SKBO,2,1881,199,2080,1.161
UMMS,SKBO,2,1881,236,2117,1.591
UMMS,SKBO,2,1803,126,1929,1.614
UMMS,SKBO,2,1888,118,2006,2.059
UMMS,SKBO,2,1814,122,1936,2.233
UMMS,SKBO,1,1324,295,1619,2.217
UMMS,SKBO,2,1814,223,2037,1.495
UMMS,SKBO,2,1877,121,1998,0.931
UMMS,SKBO,2,1876,245,2121,0.856
UMMS,SKBO,1,1322,384,1706,1.319
UMMS,SKBO,2,1872,277,2149,1.383
UMMS,SKBO,1,1324,514,1838,1.000
UMMS,SKBO,2,1870,150,2020,1.652
UMMS,SKBO,2,1881,220,2101,1.390
UMMS,SKBO,2,1881,197,2078,0.973
UMMS,SKBO,1,1322,315,1637,1.744
UMMS,SKBO,2,1867,180,2047,1.687
UMMS,SKBO,2,1876,258,2134,1.112
UMMS,SKBO,2,1867,261,2128,1.572
UMMS,SKBO,2,1875,270,2145,1.023
UMMS,SKBO,1,1324,396,1720,0.895
UMMS,SKBO,2,1888,95,1983,0.892
UMMS,SKBO,1,1324,41,1365,1.933
UMMS,SKBO,2,1865,98,1963,1.256
UMMS,SKBO,1,1322,694,2016,0.988
UMMS,SKBO,2,1803,237,2040,1.385
UMMS,SKBO,2,1814,230,2044,1.156
UMMS,SKBO,1,1322,420,1742,0.935
UMMS,SKBO,1,1322,114,1436,1.564
UMMS,SKBO,1,1324,3,1327,1.789
UMMS,SKBO,1,1324,315,1639,1.008
UMMS,SKBO,2,1870,215,2085,1.586
UMMS,SKBO,2,1808,86,1894,0.959
UMMS,SKBO,2,1870,88,1958,1.023
UMMS,SKBO,1,1324,300,1624,1.546
UMMS,SKBO,2,1803,38,1841,1.130
UMMS,SKBO,2,1758,361,2119,0.895
UMMS,SKBO,1,1324,481,1805,1.612
UMMS,SKBO,2,1867,120,1987,1.052
UMMS,SKBO,2,1881,252,2133,1.003
UMMS,SKBO,2,1808,167,1975,0.905
UMMS,SKBO,2,1818,300,2118,1.697
UMMS,SKBO,2,1867,162,2029,0.913
UMMS,SKBO,1,1324,444,1768,0.866
UMMS,SKBO,2,1870,87,1957,1.478
UMMS,SKBO,2,1876,245,2121,1.428
UMMS,SKBO,2,1863,221,2084,0.865
UMMS,SKBO,2,1877,96,1973,1.676
UMMS,SKBO,1,1324,523,1847,1.296
UMMS,SKBO,2,1877,103,1980,1.186
UMMS,SKBO,2,1874,53,1927,1.928
UMMS,SKBO,2,1875,187,2062,2.286
UMMS,SKBO,2,1873,173,2046,1.143
UMMS,SKBO,2,1808,125,1933,1.116
UMMS,SKBO,1,1322,136,1458,1.660
UMMS,SKBO,2,1808,154,1962,1.923
UMMS,SKBO,2,1814,235,2049,1.342
UMMS,SKBO,2,1803,66,1869,1.375
UMMS,SKBO,1,1322,229,1551,1.252
