Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
EDDI,LBSF,1301,1301,0.476,0.317
EDDI,LBSF,1240,1240,0.427,0.402
EDDI,LBSF,1430,1430,0.841,0.583
EDDI,LBSF,1328,1328,0.806,0.541
EDDI,LBSF,1138,1138,0.693,0.388
EDDI,LBSF,813,813,0.402,0.324
EDDI,LBSF,1408,1408,0.786,0.576
EDDI,LBSF,862,862,0.495,0.396
EDDI,LBSF,874,874,0.475,0.341
EDDI,LBSF,1592,1592,0.884,0.693
EDDI,LBSF,829,829,0.476,0.389
EDDI,LBSF,1597,1597,0.664,0.455
EDDI,LBSF,1184,1184,0.586,0.345
EDDI,LBSF,1514,1514,0.591,0.803
EDDI,LBSF,1545,1545,0.799,0.574
EDDI,LBSF,663,663,0.826,0.568
EDDI,LBSF,961,961,0.797,0.423
EDDI,LBSF,1299,1299,0.613,0.335
EDDI,LBSF,1311,1311,0.804,0.591
EDDI,LBSF,1567,1567,0.842,0.693
EDDI,LBSF,1601,1601,0.834,0.622
EDDI,LBSF,1240,1240,0.754,0.633
EDDI,LBSF,1030,1030,0.795,0.337
EDDI,LBSF,1450,1450,0.477,0.339
EDDI,LBSF,764,764,0.528,0.526
EDDI,LBSF,943,943,0.587,0.389
EDDI,LBSF,845,845,0.528,0.331
EDDI,LBSF,1387,1387,0.475,0.310
EDDI,LBSF,1505,1505,0.459,0.332
