Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
BIKF,SVMI,2413,2413,0.954,0.501
BIKF,SVMI,2479,2479,1.962,0.755
BIKF,SVMI,1960,1960,1.031,0.860
BIKF,SVMI,2344,2344,1.066,0.435
BIKF,SVMI,2744,2744,1.153,0.534
BIKF,SVMI,2079,2079,1.697,0.792
BIKF,SVMI,2242,2242,2.654,0.903
BIKF,SVMI,2591,2591,1.829,0.720
BIKF,SVMI,2062,2062,2.382,1.143
BIKF,SVMI,1975,1975,1.339,0.754
BIKF,SVMI,2116,2116,1.562,0.774
BIKF,SVMI,2242,2242,2.443,0.824
BIKF,SVMI,2498,2498,1.514,0.681
BIKF,SVMI,2334,2334,1.947,1.157
BIKF,SVMI,2051,2051,1.567,0.573
BIKF,SVMI,2183,2183,0.958,0.669
BIKF,SVMI,2338,2338,2.759,1.374
BIKF,SVMI,2179,2179,1.252,0.467
BIKF,SVMI,2614,2614,1.242,0.484
BIKF,SVMI,2231,2231,1.600,0.783
BIKF,SVMI,2148,2148,2.111,0.742
BIKF,SVMI,2378,2378,1.470,0.777
BIKF,SVMI,2431,2431,1.490,1.591
BIKF,SVMI,2349,2349,1.746,0.716
BIKF,SVMI,2150,2150,1.730,0.750
BIKF,SVMI,2193,2193,2.538,1.164
BIKF,SVMI,2319,2319,1.495,0.664
BIKF,SVMI,2238,2238,1.570,0.742
BIKF,SVMI,2742,2742,2.380,0.749
BIKF,SVMI,2165,2165,0.764,0.378
BIKF,SVMI,2506,2506,1.181,0.693
BIKF,SVMI,2176,2176,1.474,0.699
BIKF,SVMI,2257,2257,2.010,0.451
BIKF,SVMI,2061,2061,1.692,0.793
BIKF,SVMI,2142,2142,1.483,0.774
BIKF,SVMI,2117,2117,1.644,0.691
BIKF,SVMI,2144,2144,1.483,0.798
BIKF,SVMI,2389,2389,1.570,0.849
BIKF,SVMI,2261,2261,2.585,0.766
BIKF,SVMI,2005,2005,1.188,0.796
BIKF,SVMI,2144,2144,1.503,0.508
BIKF,SVMI,2089,2089,1.395,0.850
BIKF,SVMI,1981,1981,1.297,0.800
BIKF,SVMI,2520,2520,1.656,0.779
BIKF,SVMI,2105,2105,2.091,0.968
BIKF,SVMI,1948,1948,1.705,1.291
BIKF,SVMI,2469,2469,1.815,1.056
BIKF,SVMI,2267,2267,1.126,0.751
BIKF,SVMI,2232,2232,1.692,0.597
BIKF,SVMI,2027,2027,1.278,0.542
BIKF,SVMI,2648,2648,1.009,0.880
BIKF,SVMI,2644,2644,1.699,1.010
BIKF,SVMI,2441,2441,2.743,0.784
BIKF,SVMI,2175,2175,1.713,0.700
BIKF,SVMI,2504,2504,1.580,0.809
BIKF,SVMI,2044,2044,2.672,0.829
BIKF,SVMI,2229,2229,0.893,0.426
BIKF,SVMI,2630,2630,0.963,0.801
BIKF,SVMI,2873,2873,2.736,0.757
BIKF,SVMI,2099,2099,1.085,0.505
BIKF,SVMI,2972,2972,1.150,0.624
BIKF,SVMI,2466,2466,1.087,0.542
BIKF,SVMI,2589,2589,1.236,0.830
BIKF,SVMI,2088,2088,1.482,0.719
BIKF,SVMI,2392,2392,1.024,0.746
BIKF,SVMI,2759,2759,1.750,0.802
BIKF,SVMI,2343,2343,1.587,0.651
BIKF,SVMI,2097,2097,0.929,0.366
BIKF,SVMI,2257,2257,1.505,0.477
BIKF,SVMI,2254,2254,2.184,0.803
BIKF,SVMI,2511,2511,1.489,0.812
BIKF,SVMI,2302,2302,1.606,0.650
BIKF,SVMI,2327,2327,3.154,0.749
BIKF,SVMI,2543,2543,1.691,0.815
BIKF,SVMI,1983,1983,1.971,0.958
BIKF,SVMI,2339,2339,2.435,0.724
BIKF,SVMI,2520,2520,1.295,0.717
BIKF,SVMI,2210,2210,1.825,0.832
BIKF,SVMI,2377,2377,1.560,0.744
BIKF,SVMI,2058,2058,2.629,0.797
BIKF,SVMI,2436,2436,1.652,0.787
BIKF,SVMI,2226,2226,1.399,0.733
BIKF,SVMI,2302,2302,2.771,1.690
BIKF,SVMI,2329,2329,1.317,0.803
BIKF,SVMI,2298,2298,1.664,0.894
BIKF,SVMI,2167,2167,2.133,0.792
BIKF,SVMI,2098,2098,1.502,0.719
BIKF,SVMI,2660,2660,1.369,1.279
BIKF,SVMI,2488,2488,1.841,0.746
BIKF,SVMI,2272,2272,1.392,0.757
BIKF,SVMI,2791,2791,1.646,0.706
BIKF,SVMI,2340,2340,1.374,0.810
BIKF,SVMI,3034,3034,1.505,0.779
BIKF,SVMI,1984,1984,2.564,0.733
BIKF,SVMI,2075,2075,1.454,0.786
BIKF,SVMI,2142,2142,1.549,0.708
BIKF,SVMI,2686,2686,2.193,0.779
BIKF,SVMI,2334,2334,1.364,0.722
BIKF,SVMI,2132,2132,1.317,0.774
BIKF,SVMI,2184,2184,2.448,0.852
BIKF,SVMI,2078,2078,1.235,0.781
BIKF,SVMI,2284,2284,1.271,0.672
BIKF,SVMI,2113,2113,1.158,0.808
BIKF,SVMI,2353,2353,1.623,0.775
BIKF,SVMI,2348,2348,1.909,0.828
BIKF,SVMI,2184,2184,1.964,0.734
BIKF,SVMI,2232,2232,1.276,0.472
BIKF,SVMI,2224,2224,1.060,0.989
BIKF,SVMI,2351,2351,1.436,0.696
BIKF,SVMI,2123,2123,3.440,1.261
BIKF,SVMI,1968,1968,1.002,0.490
BIKF,SVMI,2426,2426,1.258,0.698
BIKF,SVMI,2793,2793,0.905,1.325
BIKF,SVMI,2220,2220,1.090,0.472
BIKF,SVMI,2055,2055,1.783,0.814
BIKF,SVMI,2262,2262,2.035,0.774
BIKF,SVMI,2533,2533,1.876,0.549
BIKF,SVMI,2165,2165,2.033,2.069
BIKF,SVMI,2402,2402,1.150,0.506
BIKF,SVMI,2481,2481,0.856,0.534
BIKF,SVMI,2544,2544,1.450,0.602
BIKF,SVMI,2270,2270,1.080,0.778
BIKF,SVMI,2365,2365,1.656,0.827
BIKF,SVMI,2218,2218,1.653,0.768
BIKF,SVMI,2457,2457,1.234,0.751
BIKF,SVMI,2121,2121,2.753,0.971
BIKF,SVMI,2358,2358,1.867,0.819
BIKF,SVMI,2879,2879,1.825,0.890
BIKF,SVMI,2050,2050,1.478,0.800
BIKF,SVMI,2569,2569,1.753,1.087
BIKF,SVMI,2673,2673,1.239,0.650
BIKF,SVMI,2211,2211,1.178,0.732
BIKF,SVMI,2818,2818,2.181,0.900
BIKF,SVMI,2192,2192,1.695,0.766
BIKF,SVMI,2184,2184,1.435,0.674
BIKF,SVMI,2018,2018,1.665,0.819
BIKF,SVMI,2203,2203,1.452,0.561
BIKF,SVMI,2368,2368,1.292,0.694
BIKF,SVMI,2481,2481,1.475,0.709
